Primate_div_Project	Great_ape_data
PD_0032-Cercopithecus_ascanius	ERS1986505-Pongo_abelii
PD_0033-Cercopithecus_nictitans	ERS1986506-Pongo_abelii
PD_0041-Cercopithecus_cephus	ERS1986509-Pongo_abelii
PD_0042-Cercopithecus_mona	ERS1986510-Pongo_abelii
PD_0043-Cercopithecus_lowei	Imfura-Gorilla_beringei_beringei
PD_0058-Cercopithecus_neglectus	Kaboko-Gorilla_beringei_beringei
PD_0059-Cercopithecus_diana	Tuck-Gorilla_beringei_beringei
PD_0061-Cercopithecus_mitis	Zirikana-Gorilla_beringei_beringei
PD_0066-Cercopithecus_ascanius	Itebero-Gorilla_beringei_graueri
PD_0090-Cercopithecus_nictitans	Ntabwoba-Gorilla_beringei_graueri
PD_0091-Cercopithecus_petaurista	Pinga-Gorilla_beringei_graueri
PD_0092-Cercopithecus_pogonias	Tumani-Gorilla_beringei_graueri
PD_0093-Cercopithecus_roloway	9749-Gorilla_gorilla_gorilla
PD_0094-Cercopithecus_cephus	9750-Gorilla_gorilla_gorilla
PD_0095-Cercopithecus_cephus	9751-Gorilla_gorilla_gorilla
PD_0096-Cercopithecus_mitis	9752-Gorilla_gorilla_gorilla
PD_0124-Miopithecus_ogouensis	9753-Gorilla_gorilla_gorilla
PD_0406-Cercopithecus_ascanius	KB3782-Gorilla_gorilla_gorilla
PD_0407-Cercopithecus_neglectus	KB3784-Gorilla_gorilla_gorilla
PD_0410-Cercopithecus_ascanius	KB4986-Gorilla_gorilla_gorilla
PD_0179-Gorilla_beringei	KB5792-Gorilla_gorilla_gorilla
PD_0180-Gorilla_gorilla	KB5852-Gorilla_gorilla_gorilla
PD_0181-Gorilla_gorilla	KB6039-Gorilla_gorilla_gorilla
PD_0182-Gorilla_gorilla	KB7973-Gorilla_gorilla_gorilla
PD_0183-Gorilla_gorilla	X00108-Gorilla_gorilla_gorilla
PD_0184-Gorilla_gorilla	X00109-Gorilla_gorilla_gorilla
PD_0185-Gorilla_gorilla	Africa_20-Homo_sapiens
PD_0186-Gorilla_gorilla	Africa_21-Homo_sapiens
PD_0188-Gorilla_gorilla	Africa_22-Homo_sapiens
PD_0189-Gorilla_gorilla	Africa_23-Homo_sapiens
