Primate_div_Project	Great_ape_data
PD_0239-Papio_anubis	A990-Pan_troglodytes_troglodytes
PD_0240-Papio_anubis	B021-Pan_troglodytes_troglodytes
PD_0241-Papio_anubis	B022-Pan_troglodytes_troglodytes
PD_0242-Papio_anubis	B023-Pan_troglodytes_troglodytes
PD_0243-Papio_anubis	B024-Pan_troglodytes_troglodytes
PD_0244-Papio_anubis	B025-Pan_troglodytes_troglodytes
PD_0390-Papio_papio	9668-Pan_troglodytes_verus
PD_0391-Papio_papio	A956-Pan_troglodytes_verus
PD_0392-Papio_papio	B005-Pan_troglodytes_verus
PD_0393-Papio_papio	B006-Pan_troglodytes_verus
PD_0394-Papio_papio	Clint-Pan_troglodytes_verus
PD_0395-Papio_papio	ERS1986512-Pongo_pygmaeus
PD_0396-Papio_papio	ERS1986513-Pongo_pygmaeus
PD_0397-Papio_papio	ERS1986514-Pongo_pygmaeus
PD_0398-Papio_papio	ERS1986515-Pongo_pygmaeus
PD_0399-Papio_papio	ERS1986516-Pongo_pygmaeus
PD_0400-Papio_papio	ERS1986518-Pongo_pygmaeus
PD_0401-Papio_papio	Outgroup-Tupaia_chinensis
PD_0692-Papio_ursinus	
PD_0693-Papio_ursinus	
PD_0694-Papio_ursinus	
PD_0695-Papio_ursinus	
PD_0696-Papio_hamadryas	
PD_0697-Papio_hamadryas	
PD_0698-Papio_hamadryas	
PD_0699-Papio_hamadryas	
PD_0700-Papio_hamadryas	
PD_0701-Papio_hamadryas	
PD_0702-Papio_hamadryas	
PD_0704-Papio_hamadryas	
PD_0705-Papio_hamadryas	
PD_0706-Papio_hamadryas	
PD_0707-Papio_hamadryas	
PD_0708-Papio_hamadryas	
PD_0709-Papio_hamadryas	
PD_0710-Papio_hamadryas	
PD_0711-Papio_hamadryas	
PD_0712-Papio_hamadryas	
PD_0713-Papio_hamadryas	
PD_0715-Papio_hamadryas	
PD_0716-Papio_hamadryas	
PD_0717-Papio_hamadryas	
PD_0718-Papio_hamadryas	
PD_0719-Papio_hamadryas	
PD_0720-Papio_anubis	
PD_0721-Papio_anubis	
PD_0722-Papio_anubis	
PD_0724-Papio_anubis	
PD_0725-Papio_anubis	
PD_0726-Papio_anubis	
PD_0727-Papio_anubis	
PD_0728-Papio_anubis	
PD_0729-Papio_anubis	
PD_0730-Papio_anubis	
PD_0731-Papio_anubis	
PD_0732-Papio_anubis	
PD_0735-Papio_anubis	
PD_0736-Papio_anubis	
PD_0737-Papio_anubis	
PD_0738-Papio_anubis	
PD_0739-Papio_anubis	
PD_0741-Papio_anubis	
PD_0742-Papio_anubis	
PD_0744-Papio_anubis	
PD_0745-Papio_cynocephalus	
PD_0746-Papio_cynocephalus	
PD_0747-Papio_cynocephalus	
PD_0748-Papio_cynocephalus	
PD_0749-Papio_kindae	
PD_0751-Papio_kindae	
PD_0752-Papio_cynocephalus	
PD_0754-Papio_cynocephalus	
PD_0755-Papio_cynocephalus	
PD_0756-Papio_cynocephalus	
PD_0757-Papio_cynocephalus	
