Individual_tag	Sex	Accession_code_No	Reference_Publication
Pan_troglodytes_ellioti-Basho	Male	SAMN01920519	Prado_Martinez_2013
Pan_troglodytes_ellioti-Damian	Male	SAMN01920520	Prado_Martinez_2013
Pan_troglodytes_ellioti-Julie	Female	SAMN01920521	Prado_Martinez_2013
Pan_troglodytes_ellioti-Kopongo	Female	SAMN01920522	Prado_Martinez_2013
Pan_troglodytes_ellioti-Koto	Male	SAMN01920523	Prado_Martinez_2013
Pan_troglodytes_ellioti-Paquita	Female	SAMN01920524	Prado_Martinez_2013
Pan_troglodytes_ellioti-Taweh	Male	SAMN01920525	Prado_Martinez_2013
Pan_troglodytes_ellioti-Tobi	Female	SAMN01920526	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-100037_Vincent	Male	SAMN01920527	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-100040_Andromeda	Female	SAMN01920528	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-9729_Harriet	Female	SAMN01920529	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-A910_Bwambale	Male	SAMN01920530	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-A911_Kidongo	Female	SAMN01920531	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-A912_Nakuu	Female	SAMN01920532	Prado_Martinez_2013
Pan_troglodytes_schweinfurthii-B002_Padda	Male	SAMEA4374787	de_Manuel_2016
Pan_troglodytes_schweinfurthii-B007_Cindy	Female	SAMEA4374788	de_Manuel_2016
Pan_troglodytes_schweinfurthii-B011_Frederike	Female	SAMEA4374794	de_Manuel_2016
Pan_troglodytes_schweinfurthii-B012_Washu	Male	SAMEA4374798	de_Manuel_2016
Pan_troglodytes_schweinfurthii-B013_Athanga	Male	SAMEA4374797	de_Manuel_2016
Pan_troglodytes_schweinfurthii-B014_Coco	Female	SAMEA4374796	de_Manuel_2016
Pan_troglodytes_schweinfurthii-Mgbadolite	Male	SAMEA4374799	de_Manuel_2016
Pan_troglodytes_schweinfurthii-N013_Tongo	Male	SAMEA4374790	de_Manuel_2016
Pan_troglodytes_schweinfurthii-N015_Cleo	Female	SAMEA4374791	de_Manuel_2016
Pan_troglodytes_schweinfurthii-N017_Bihati	Female	SAMEA4374792	de_Manuel_2016
Pan_troglodytes_schweinfurthii-N019_Maya	Female	SAMEA4374795	de_Manuel_2016
Pan_troglodytes_troglodytes-10964_Cindy	Female	SAMEA4374776	de_Manuel_2016
Pan_troglodytes_troglodytes-11352_Mirinda	Female	SAMEA4374777	de_Manuel_2016
Pan_troglodytes_troglodytes-11528_Alfred	Male	SAMEA4374785	de_Manuel_2016
Pan_troglodytes_troglodytes-12311_Ula	Female	SAMEA4374778	de_Manuel_2016
Pan_troglodytes_troglodytes-12320_Lara	Female	SAMEA4374779	de_Manuel_2016
Pan_troglodytes_troglodytes-12348_Luky	Female	SAMEA4374780	de_Manuel_2016
Pan_troglodytes_troglodytes-12420_Gamin	Male	SAMEA4374781	de_Manuel_2016
Pan_troglodytes_troglodytes-13656_Brigitte	Male	SAMEA4374782	de_Manuel_2016
Pan_troglodytes_troglodytes-A957_Vaillant	Male	SAMN01920533	Prado_Martinez_2013
Pan_troglodytes_troglodytes-A958_Doris	Female	SAMN01920534	Prado_Martinez_2013
Pan_troglodytes_troglodytes-A959_Julie	Female	SAMN01920535	Prado_Martinez_2013
Pan_troglodytes_troglodytes-A960_Clara	Female	SAMN01920536	Prado_Martinez_2013
Pan_troglodytes_troglodytes-A990_Noemie	Female	SAMEA4374775	de_Manuel_2016
Pan_troglodytes_troglodytes-B021_Yogui	Male	SAMEA4374774	de_Manuel_2016
Pan_troglodytes_troglodytes-B022_Tibe	Female	SAMEA4374773	de_Manuel_2016
Pan_troglodytes_troglodytes-B023_Blanquita	Female	SAMEA4374772	de_Manuel_2016
Pan_troglodytes_troglodytes-B024_Negrita	Female	SAMEA4374771	de_Manuel_2016
Pan_troglodytes_troglodytes-B025_Marlin	Female	SAMEA4374770	de_Manuel_2016
Pan_troglodytes_verus-9668_Bosco	Male	SAMN01920537	Prado_Martinez_2013
Pan_troglodytes_verus-A956_Jimmie	Female	SAMN01920538	Prado_Martinez_2013
Pan_troglodytes_verus-A991_Berta	Female	SAMEA4374763	de_Manuel_2016
Pan_troglodytes_verus-A992_Annie	Female	SAMEA4374764	de_Manuel_2016
Pan_troglodytes_verus-A993_Mike	Male	SAMEA4374765	de_Manuel_2016
Pan_troglodytes_verus-B005_SeppToni	Male	SAMEA4374766	de_Manuel_2016
Pan_troglodytes_verus-B006_Linda	Female	SAMEA4374767	de_Manuel_2016
Pan_troglodytes_verus-Clint	Male	SAMN01920540	Prado_Martinez_2013
Pan_troglodytes_verus-N014_Cindy	Female	SAMEA4374768	de_Manuel_2016
Pan_troglodytes_verus-N016_Alice	Female	SAMEA4374769	de_Manuel_2016
Pan_troglodytes_verus-X00100_Koby	Male	SAMN01920539	Prado_Martinez_2013
abelii_ERS1986505	Male	SAMEA104361527	Nater_2017
abelii_ERS1986506	Female	SAMEA104361528	Nater_2017
abelii_ERS1986507	Female	SAMEA104361529	Nater_2017
abelii_ERS1986508	Female	SAMEA104361530	Nater_2017
abelii_ERS1986509	Female	SAMEA104361531	Nater_2017
abelii_ERS1986510	Female	SAMEA104361532	Nater_2017
abelii_SRS396837	Female	SAMN01920542	Prado_Martinez_2013
abelii_SRS396838	Female	SAMN01920543	Prado_Martinez_2013
abelii_SRS396839	Female	SAMN01920544	Prado_Martinez_2013
abelii_SRS396840	Female	SAMN01920545	Prado_Martinez_2013
abelii_SRS396841	Male	SAMN01920546	Prado_Martinez_2013
pygmaeus_ERS1986511	Female	SAMEA104361533	Nater_2017
pygmaeus_ERS1986512	Male	SAMEA104361534	Nater_2017
pygmaeus_ERS1986513	Female	SAMEA104361535	Nater_2017
pygmaeus_ERS1986514	Male	SAMEA104361536	Nater_2017
pygmaeus_ERS1986515	Female	SAMEA104361537	Nater_2017
pygmaeus_ERS1986516	Male	SAMEA104361538	Nater_2017
pygmaeus_ERS1986517	Male	SAMEA104361539	Nater_2017
pygmaeus_ERS1986518	Female	SAMEA104361540	Nater_2017
pygmaeus_ERS1986519	Female	SAMEA104361541	Nater_2017
pygmaeus_ERS1986520	Male	SAMEA104361542	Nater_2017
pygmaeus_SRS396832	Female	SAMN01920547	Prado_Martinez_2013
pygmaeus_SRS396833	Female	SAMN01920548	Prado_Martinez_2013
pygmaeus_SRS396834	Female	SAMN01920549	Prado_Martinez_2013
pygmaeus_SRS396835	Female	SAMN01920550	Prado_Martinez_2013
pygmaeus_SRS396836	Male	SAMN01920551	Prado_Martinez_2013
tapanuliensis_ERS1986521	Male	SAMEA104361543	Nater_2017
