id	species	ref_genome	sex
PD_0589	Semnopithecus_hypoleucos	Rhinopithecus_roxellana.fasta	Male
PD_0590	Semnopithecus_hypoleucos	Rhinopithecus_roxellana.fasta	Male
PD_0591	Semnopithecus_hypoleucos	Rhinopithecus_roxellana.fasta	Male
PD_0592	Semnopithecus_hypoleucos	Rhinopithecus_roxellana.fasta	Male
PD_0593	Semnopithecus_schistaceus	Rhinopithecus_roxellana.fasta	Male
PD_0594	Semnopithecus_schistaceus	Rhinopithecus_roxellana.fasta	Female
PD_0595	Trachypithecus_geei	Rhinopithecus_roxellana.fasta	Male
PD_0596	Trachypithecus_geei	Rhinopithecus_roxellana.fasta	Female
PD_0597	Trachypithecus_geei	Rhinopithecus_roxellana.fasta	Male
PD_0598	Trachypithecus_geei	Rhinopithecus_roxellana.fasta	Male
PD_0599	Trachypithecus_geei	Rhinopithecus_roxellana.fasta	Male
PD_0600	Trachypithecus_geei	Rhinopithecus_roxellana.fasta	Male
PD_0601	Semnopithecus_johnii	Rhinopithecus_roxellana.fasta	Male
PD_0602	Trachypithecus_phayrei	Rhinopithecus_roxellana.fasta	Male
PD_0603	Trachypithecus_pileatus	Rhinopithecus_roxellana.fasta	Female
PD_0604	Varecia_rubra	Lemur_catta-Thomas.fasta	Female
PD_0605	Cheirogaleus_major	Maleicrocebus_murinus.fasta	Female
PD_0606	Cheirogaleus_medius	Maleicrocebus_murinus.fasta	Male
PD_0607	Maleicrocebus_murinus	Maleicrocebus_murinus.fasta	Male
PD_0608	Maleirza_zaza	Maleicrocebus_murinus.fasta	Female
PD_0609	Propithecus_coquereli	GCF_000956105.1_Pcoq_1.0_genomic.fna	Unknown
PD_0610	Eulemur_collaris	Lemur_catta-Thomas.fasta	Female
PD_0611	Eulemur_coronatus	Lemur_catta-Thomas.fasta	Female
PD_0612	Eulemur_flavifrons	Lemur_catta-Thomas.fasta	Female
PD_0613	Eulemur_fulvus	Lemur_catta-Thomas.fasta	Female
PD_0614	Eulemur_macaco	Lemur_catta-Thomas.fasta	Female
PD_0615	Eulemur_mongoz	Lemur_catta-Thomas.fasta	Female
PD_0616	Eulemur_rubriventer	Lemur_catta-Thomas.fasta	Female
PD_0617	Eulemur_rufus	Lemur_catta-Thomas.fasta	Female
PD_0618	Eulemur_sanfordi	Lemur_catta-Thomas.fasta	Female
PD_0619	Hapalemur_alaotrensis	Lemur_catta-Thomas.fasta	Female
PD_0620	Lemur_catta	Lemur_catta-Thomas.fasta	Female
PD_0621	Varecia_variegata	Lemur_catta-Thomas.fasta	Female
PD_0622	Galagoides_demidoff	Galago_moholi.fasta	Female
PD_0623	Otolemur_crassicaudatus	Otolemur_garnettii.fasta	Female
PD_0624	Otolemur_garnettii	Otolemur_garnettii.fasta	Male
PD_0625	Otolemur_crassicaudatus	Otolemur_garnettii.fasta	Female
PD_0626	Loris_tardigradus	Loris_tardigradus.fasta	Male
PD_0627	Perodicticus_potto	Nycticebus_pygmaeus.fasta	Male
PD_0628	Cephalopachus_bancanus	GCF_000164805.1_Tarsius_syrichta-2.0.1_genomic.fna	Unknown
PD_0629	Carlito_syrichta	GCF_000164805.1_Tarsius_syrichta-2.0.1_genomic.fna	Unknown
PD_0692	Papio_ursinus	rheMac10.fa	Unknown
PD_0693	Papio_ursinus	rheMac10.fa	Unknown
PD_0694	Papio_ursinus	rheMac10.fa	Unknown
PD_0695	Papio_ursinus	rheMac10.fa	Unknown
PD_0696	Papio_hamadryas	rheMac10.fa	Unknown
PD_0697	Papio_hamadryas	rheMac10.fa	Unknown
PD_0698	Papio_hamadryas	rheMac10.fa	Unknown
PD_0699	Papio_hamadryas	rheMac10.fa	Unknown
PD_0700	Papio_hamadryas	rheMac10.fa	Unknown
PD_0701	Papio_hamadryas	rheMac10.fa	Unknown
PD_0702	Papio_hamadryas	rheMac10.fa	Unknown
PD_0703	Papio_hamadryas	rheMac10.fa	Unknown
PD_0704	Papio_hamadryas	rheMac10.fa	Unknown
PD_0705	Papio_hamadryas	rheMac10.fa	Unknown
PD_0706	Papio_hamadryas	rheMac10.fa	Unknown
PD_0707	Papio_hamadryas	rheMac10.fa	Unknown
PD_0708	Papio_hamadryas	rheMac10.fa	Unknown
PD_0709	Papio_hamadryas	rheMac10.fa	Unknown
PD_0710	Papio_hamadryas	rheMac10.fa	Unknown
PD_0711	Papio_hamadryas	rheMac10.fa	Unknown
PD_0712	Papio_hamadryas	rheMac10.fa	Unknown
PD_0713	Papio_hamadryas	rheMac10.fa	Unknown
PD_0714	Papio_hamadryas	rheMac10.fa	Unknown
PD_0715	Papio_hamadryas	rheMac10.fa	Unknown
PD_0716	Papio_hamadryas	rheMac10.fa	Unknown
PD_0717	Papio_hamadryas	rheMac10.fa	Unknown
PD_0718	Papio_hamadryas	rheMac10.fa	Unknown
PD_0719	Papio_hamadryas	rheMac10.fa	Unknown
PD_0720	Papio_anubis	rheMac10.fa	Unknown
PD_0721	Papio_anubis	rheMac10.fa	Unknown
PD_0722	Papio_anubis	rheMac10.fa	Unknown
PD_0723	Papio_anubis	rheMac10.fa	Unknown
PD_0724	Papio_anubis	rheMac10.fa	Unknown
PD_0725	Papio_anubis	rheMac10.fa	Unknown
PD_0726	Papio_anubis	rheMac10.fa	Unknown
PD_0727	Papio_anubis	rheMac10.fa	Unknown
PD_0728	Papio_anubis	rheMac10.fa	Unknown
PD_0729	Papio_anubis	rheMac10.fa	Unknown
PD_0730	Papio_anubis	rheMac10.fa	Unknown
PD_0731	Papio_anubis	rheMac10.fa	Unknown
PD_0732	Papio_anubis	rheMac10.fa	Unknown
PD_0733	Papio_anubis	rheMac10.fa	Unknown
PD_0734	Papio_anubis	rheMac10.fa	Unknown
PD_0735	Papio_anubis	rheMac10.fa	Unknown
PD_0736	Papio_anubis	rheMac10.fa	Unknown
PD_0737	Papio_anubis	rheMac10.fa	Unknown
PD_0738	Papio_anubis	rheMac10.fa	Unknown
PD_0739	Papio_anubis	rheMac10.fa	Unknown
PD_0740	Papio_anubis	rheMac10.fa	Unknown
PD_0741	Papio_anubis	rheMac10.fa	Unknown
PD_0742	Papio_anubis	rheMac10.fa	Unknown
PD_0743	Papio_anubis	rheMac10.fa	Unknown
PD_0744	Papio_anubis	rheMac10.fa	Unknown
PD_0745	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0746	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0747	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0748	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0749	Papio_kindae	rheMac10.fa	Unknown
PD_0750	Papio_kindae	rheMac10.fa	Unknown
PD_0751	Papio_kindae	rheMac10.fa	Unknown
PD_0752	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0753	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0754	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0755	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0756	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0757	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0758	Papio_kindae	rheMac10.fa	Unknown
PD_0759	Papio_kindae	rheMac10.fa	Unknown
PD_0760	Papio_kindae	rheMac10.fa	Unknown
PD_0761	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0762	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0763	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0764	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0765	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0766	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0767	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0768	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0769	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0770	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0771	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0772	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0773	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0774	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0775	Papio_cynocephalus	rheMac10.fa	Unknown
PD_0776	Papio_kindae	rheMac10.fa	Unknown
PD_0777	Papio_kindae	rheMac10.fa	Unknown
PD_0778	Papio_kindae	rheMac10.fa	Unknown
PD_0779	Papio_kindae	rheMac10.fa	Unknown
PD_0780	Papio_kindae	rheMac10.fa	Unknown
PD_0781	Papio_kindae	rheMac10.fa	Unknown
PD_0782	Papio_kindae	rheMac10.fa	Unknown
PD_0783	Papio_kindae	rheMac10.fa	Unknown
PD_0784	Papio_kindae	rheMac10.fa	Unknown
PD_0785	Papio_kindae	rheMac10.fa	Unknown
PD_0786	Papio_kindae	rheMac10.fa	Unknown
PD_0787	Papio_kindae	rheMac10.fa	Unknown
PD_0788	Papio_kindae	rheMac10.fa	Unknown
PD_0789	Papio_kindae	rheMac10.fa	Unknown
PD_0790	Papio_kindae	rheMac10.fa	Unknown
PD_0791	Papio_kindae	rheMac10.fa	Unknown
PD_0792	Papio_kindae	rheMac10.fa	Unknown
PD_0793	Papio_kindae	rheMac10.fa	Unknown
PD_0794	Aotus_vociferans	Aotus_nancymaae.fasta	Male
PD_0794_BAB	Papio_kindae	rheMac10.fa	Unknown
PD_0795	Aotus_vociferans	Aotus_nancymaae.fasta	Male
PD_0796	Aotus_vociferans	Aotus_nancymaae.fasta	Male
PD_0797	Aotus_vociferans	Aotus_nancymaae.fasta	Male
PD_0798	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0799	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0800	Aotus_azarae	Aotus_nancymaae.fasta	Female
PD_0801	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0802	Aotus_griseimembra	Aotus_nancymaae.fasta	Male
PD_0803	Aotus_griseimembra	Aotus_nancymaae.fasta	Male
PD_0804	Aotus_griseimembra	Aotus_nancymaae.fasta	Male
PD_0805	Aotus_griseimembra	Aotus_nancymaae.fasta	Male
PD_0806	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0807	Aotus_azarae	Aotus_nancymaae.fasta	Female
PD_0808	Aotus_azarae	Aotus_nancymaae.fasta	Female
PD_0809	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0810	Aotus_azarae	Aotus_nancymaae.fasta	Female
PD_0811	Aotus_azarae	Aotus_nancymaae.fasta	Female
PD_0812	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0813	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0814	Aotus_azarae	Aotus_nancymaae.fasta	Female
PD_0815	Aotus_azarae	Aotus_nancymaae.fasta	Male
PD_0816	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0817	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0818	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0819	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0820	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0821	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0822	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0823	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0824	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0825	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0826	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0827	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0828	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0829	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0830	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0831	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0832	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0833	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0834	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0835	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0836	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Male
PD_0837	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0838	Maleacaca_fascicularis	Maleacaca_mulatta.fasta	Female
PD_0839	Nycticebus_bengalensis	Nycticebus_pygmaeus.fasta	Male
PD_0840	Leontopithecus_chrysomelas	Callithrix_jacchus.fasta	Male
PD_0841	Leontopithecus_chrysomelas	Callithrix_jacchus.fasta	Female
PD_0842	Nycticebus_bengalensis	Nycticebus_pygmaeus.fasta	Female
PD_0843	Semnopithecus_vetulus	PASS	Unknown
PD_0844	Leontopithecus_chrysomelas	Callithrix_jacchus.fasta	Male
PD_0845	Nycticebus_bengalensis	Nycticebus_pygmaeus.fasta	Female
PD_0846	Nycticebus_bengalensis	Nycticebus_pygmaeus.fasta	Female
PD_0847	Semnopithecus_vetulus	PASS	Unknown
PD_0848	Rhinopithecus_roxellana	Rhinopithecus_roxellana.fasta	Male
PD_0849	Trachypithecus_laotum	Rhinopithecus_roxellana.fasta	Male
PD_0850	Trachypithecus_melamera	Rhinopithecus_roxellana.fasta	Male
PD_0851	Trachypithecus_leucocephalus	WARN	Unknown
PD_0852	Trachypithecus_hatinhensis	Rhinopithecus_roxellana.fasta	Male
PD_0853	Trachypithecus_germaini	Rhinopithecus_roxellana.fasta	Male
PD_0854	Indri_indri	GCF_000956105.1_Pcoq_1.0_genomic.fna	Unknown
PD_0855	Nycticebus_coucang	Nycticebus_pygmaeus.fasta	Male
PD_0856	Maleacaca_nigra	Maleacaca_mulatta.fasta	Female
PD_0857	Maleacaca_tonkeana	Maleacaca_mulatta.fasta	Male
PD_0858	Maleacaca_nemestrina	Maleacaca_mulatta.fasta	Male
PD_0859	Maleacaca_assamensis	Maleacaca_mulatta.fasta	Male
PD_0860	Maleacaca_arctoides	Maleacaca_mulatta.fasta	Female
PD_0861	Callithrix_jacchus	Callithrix_jacchus.fasta	Female
PD_0863	Callithrix_geoffroyi	Callithrix_jacchus.fasta	Male
PD_0865	Callithrix_kuhlii	Callithrix_jacchus.fasta	Male
PD_0867	Maleacaca_nemestrina	Maleacaca_mulatta.fasta	Female
PD_0870	Maleacaca_nemestrina	Maleacaca_mulatta.fasta	Female
PD_0872	Maleacaca_nemestrina	Maleacaca_mulatta.fasta	Female
PD_0874	Maleacaca_nemestrina	Maleacaca_mulatta.fasta	Female
PD_0876	Maleandrillus_leucophaeus	Maleandrillus_sphinx.fasta	Female
PD_0879	Colobus_angolensis	Colobus_guereza.fasta	Female
PD_0881	Rhinopithecus_bieti	Rhinopithecus_roxellana.fasta	Male
PD_0883	Maleacaca_thibetana	Maleacaca_mulatta.fasta	Female
PD_0884	Nomascus_leucogenys	Nomascus_leucogenys.fasta	Female
PD_0885	Maleacaca_cyclopis	Maleacaca_mulatta.fasta	Male
PD_0886	Maleacaca_fuscata	Maleacaca_mulatta.fasta	Male
