Primate_div_Project	Great_ape_data
PD_0193-Gorilla_gorilla	10964-Pan_troglodytes_troglodytes
PD_0194-Gorilla_gorilla	11352-Pan_troglodytes_troglodytes
PD_0195-Gorilla_gorilla	11528-Pan_troglodytes_troglodytes
PD_0196-Gorilla_gorilla	12320-Pan_troglodytes_troglodytes
PD_0197-Gorilla_gorilla	12348-Pan_troglodytes_troglodytes
PD_0198-Gorilla_gorilla	12420-Pan_troglodytes_troglodytes
PD_0260-Gorilla_gorilla	13656-Pan_troglodytes_troglodytes
PD_0264-Gorilla_gorilla	A957-Pan_troglodytes_troglodytes
PD_0623-Otolemur_crassicaudatus	A958-Pan_troglodytes_troglodytes
PD_0624-Otolemur_garnettii	A959-Pan_troglodytes_troglodytes
PD_0625-Otolemur_crassicaudatus	A960-Pan_troglodytes_troglodytes
PD_0003-Cacajao_hosomi	A990-Pan_troglodytes_troglodytes
PD_0006-Chiropotes_israelita	B021-Pan_troglodytes_troglodytes
PD_0015-Pithecia_vanzolinii	B022-Pan_troglodytes_troglodytes
PD_0018-Cacajao_melanocephalus	B023-Pan_troglodytes_troglodytes
PD_0019-Cacajao_ayresi	B024-Pan_troglodytes_troglodytes
PD_0020-Cacajao_calvus	B025-Pan_troglodytes_troglodytes
PD_0021-Cacajao_calvus	9668-Pan_troglodytes_verus
PD_0022-Cacajao_ayresi	A956-Pan_troglodytes_verus
PD_0023-Cacajao_calvus	A993-Pan_troglodytes_verus
PD_0024-Cacajao_calvus	B005-Pan_troglodytes_verus
PD_0080-Chiropotes_albinasus	B006-Pan_troglodytes_verus
PD_0081-Chiropotes_sagulatus	Clint-Pan_troglodytes_verus
PD_0082-Chiropotes_sagulatus	X00100-Pan_troglodytes_verus
PD_0083-Pithecia_pissinattii	ERS1986512-Pongo_pygmaeus
PD_0084-Pithecia_chrysocephala	ERS1986513-Pongo_pygmaeus
PD_0085-Pithecia_hirsuta	ERS1986514-Pongo_pygmaeus
PD_0086-Pithecia_mittermeieri	ERS1986515-Pongo_pygmaeus
PD_0087-Pithecia_albicans	ERS1986516-Pongo_pygmaeus
PD_0088-Cacajao_calvus	ERS1986518-Pongo_pygmaeus
PD_0128-Cacajao_melanocephalus	ERS1986519-Pongo_pygmaeus
