Primate_div_Project	Great_ape_data
PD_0199-Papio_anubis	ERS1986505-Pongo_abelii
PD_0200-Papio_anubis	ERS1986506-Pongo_abelii
PD_0201-Papio_anubis	ERS1986507-Pongo_abelii
PD_0202-Papio_anubis	ERS1986508-Pongo_abelii
PD_0203-Papio_anubis	ERS1986509-Pongo_abelii
PD_0204-Papio_anubis	ERS1986510-Pongo_abelii
PD_0205-Papio_anubis	SRS396837-Pongo_abelii
PD_0206-Papio_anubis	SRS396838-Pongo_abelii
PD_0207-Papio_anubis	SRS396839-Pongo_abelii
PD_0208-Papio_anubis	SRS396840-Pongo_abelii
PD_0209-Papio_anubis	SRS396841-Pongo_abelii
PD_0210-Papio_anubis	Imfura-Gorilla_beringei_beringei
PD_0211-Papio_anubis	Kaboko-Gorilla_beringei_beringei
PD_0212-Papio_anubis	Maisha-Gorilla_beringei_beringei
PD_0213-Papio_cynocephalus	Tuck-Gorilla_beringei_beringei
PD_0214-Papio_cynocephalus	Zirikana-Gorilla_beringei_beringei
PD_0215-Papio_cynocephalus	9732-Gorilla_beringei_graueri
PD_0216-Papio_cynocephalus	A929-Gorilla_beringei_graueri
PD_0217-Papio_cynocephalus	A967-Gorilla_beringei_graueri
PD_0218-Papio_anubis	Dunia-Gorilla_beringei_graueri
PD_0219-Papio_anubis	Itebero-Gorilla_beringei_graueri
PD_0220-Papio_anubis	Ntabwoba-Gorilla_beringei_graueri
PD_0221-Papio_anubis	Pinga-Gorilla_beringei_graueri
PD_0222-Papio_anubis	Tumani-Gorilla_beringei_graueri
PD_0223-Papio_cynocephalus	B646-Gorilla_gorilla_diehli
PD_0224-Papio_cynocephalus	9749-Gorilla_gorilla_gorilla
PD_0225-Papio_cynocephalus	9750-Gorilla_gorilla_gorilla
PD_0226-Papio_cynocephalus	9751-Gorilla_gorilla_gorilla
PD_0227-Papio_cynocephalus	9752-Gorilla_gorilla_gorilla
PD_0228-Papio_cynocephalus	9753-Gorilla_gorilla_gorilla
PD_0229-Papio_cynocephalus	A930-Gorilla_gorilla_gorilla
PD_0230-Papio_cynocephalus	A931-Gorilla_gorilla_gorilla
PD_0231-Papio_cynocephalus	A932-Gorilla_gorilla_gorilla
PD_0232-Papio_cynocephalus	A933-Gorilla_gorilla_gorilla
